letter	frequency
98	1.63
99	1.30
00	1.41
01	1.35
02	1.51
03	1.60
04	1.54
05	1.34
06	1.40
07	1.26
08	1.04
09	1.28
10	0.97
11	0.96
12	1.16
13	1.29
14	1.98
15	2.52
16	2.84
